ArabicWord,EnglishMeaning,Link,,
??????,"Under , Below, Beneath, Lower,",link to dictionary,,
??????,"Dusty , Earth , Person of Same age",link to dictionary,,
??????,",Ninety, Nine, Nineteen",link to dictionary,,
??????,Collarbone,link to dictionary,,
??????,"Luxury , Comfort",link to dictionary,,
??????,"Leave , Abandon, Heritage, Quit, Bequeath, Neglect,",link to dictionary,,
??????,"Some , Each Other, Mosquito",link to dictionary,,
??????,"become Husband or wife , Lord",link to dictionary,,
??????,"Merciful , Compassionate",link to dictionary,,
?????,"Return , Resist , Oppose",link to dictionary,,
??????,"Support , Strength , Helper",link to dictionary,,
??????,"Follow , Succeed , Follow one another , Synonymous",link to dictionary,,
??????,"Fill, Rubble , Debris, Dam",link to dictionary,,
?????,"Perish , Destroy , Deteriorate",link to dictionary,,
??????,"Reject , Disown , Despicable",link to dictionary,,
??????,"Provide with means of livelihood , Blessed , Endowed",link to dictionary,,
??????,"Firm , Stable , Established",link to dictionary,,
??????,", Send, Dipatch, Messenger , Emissary , Apostle , Envoy",link to dictionary,,
?????,"Anchor , High mountain , dock",link to dictionary,,
??????,"True Believer , Right way , Reason , Sense",link to dictionary,,
??????,"Watch , Observe , Lie in Wait , Observatory",link to dictionary,,
?????,"Compress , Stress , Stick Together",link to dictionary,,
?????,"Sucking , Suckling , Lactation",link to dictionary,,
??????,"Satisfied , Content , Please , Approve",link to dictionary,,
??????,"Wet , Damp , Humid , Green Plants , Ripe Dates ,",link to dictionary,,
?????,"Desist , Repent",link to dictionary,,
??????,"Frighten , Terrified ,",link to dictionary,,
??????,"Thunder , Tremor , Coward ,",link to dictionary,,
????????,"Nine , Nineteen",link to dictionary,,
??????,"Perish , Unhappy, Miserable,",link to dictionary,,
??????,"Little, Insignificant, Small, Worthless",link to dictionary,,
?????,"Fear, Caution, Devout, To fear God , Pious",link to dictionary,,
???,"Skillful , Perfect, Firmness,",link to dictionary,,
????,"Crush, Trample, Underfoot,",link to dictionary,,
???,"Reading , Recitation , Follow",link to dictionary,,
?????,"Complete , Perfect, Done, Finish,",link to dictionary,,
???????,"Oven , Pit, Skirt,",link to dictionary,,
??? ??,"Repent, Renounce, Merciful, Forgive,",link to dictionary,,
???????,"Once, Sometimes, At other times.",link to dictionary,,
??? ??,"Straying, Wandering , Get Lost, Loose one way , Perish, Proud , Haughty , Mislead",link to dictionary,,
????,Fig,link to dictionary,,
??????,"Destroy , Perish",link to dictionary,,
??????,"Confirmed , Proven",link to dictionary,,
?????,"Flow Copiously , Streaming",link to dictionary,,
??????,"Prevent, Hold Back, Hinder, Impede, Frustrate",link to dictionary,,
??????,"Wear out , Weaken, Persevere, Persist, Thick,",link to dictionary,,
?????,"Wealth , Rich , Earth , Ground",link to dictionary,,
??????,"Blame , Slander, Rebuke,",link to dictionary,,
??????,"Piercing , Shine of a Star",link to dictionary,,
??????? ?,Snake,link to dictionary,,
??????,"Weight , heavy , Humans and Jinn's",link to dictionary,,
??????,"Meet , Find , Intelligent , Clever",link to dictionary,,
??????,"one third , three",link to dictionary,,
?????,"Group , band , destroy",link to dictionary,,
??????,"Bear Fruit , profit",link to dictionary,,
?????,"There , Over There , Then , After wards , Further more , and again , once more",link to dictionary,,
??????,"Eighth , Eight, Eighteen",link to dictionary,,
??????,"Value , Valuable , Precious",link to dictionary,,
?????,"Folded , Secondary, Two, Twelve, Double, Bend, Exception,",link to dictionary,,
?????,"Dress , Return , Reward , Recompense , Place to which one returns",link to dictionary,,
?????,"Folded , Secondary, Two, Twelve, Double, Bend, Exception,",link to dictionary,,
?????,"Excite , Agitate, Arouse, Provoke",link to dictionary,,
?????,"Settle Down , Dwelling, Abode,",link to dictionary,,
???,"Unmarried , Divorcee , Widow ,",link to dictionary,,
??????,"Pray Fervently, Moo, Bellow of cattle",link to dictionary,,
??????,"compel , Forcibly, Coercion",link to dictionary,,
????,"Pit , Well , Outer garment",link to dictionary,,
??????,"Face, Forehead, Front, Confront, Opposition,",link to dictionary,,
??????,"Forehead , face , Fearful",link to dictionary,,
??????,"Disposition , Mountain, Hilly, Mold, Form, Fashion,",link to dictionary,,
?????,"Choose , Prostration, Pick,",link to dictionary,,
?????,To Fall on One Knee,link to dictionary,,
?????,"Uproot , Body, Pullout, Corpse",link to dictionary,,
?????,To Fall on One Knee,link to dictionary,,
??????,"hellish , Kindle, Hellfire, Fire",link to dictionary,,
??????,"Renounce , Negate, Deny, Disclaim, Reject,",link to dictionary,,
?????,"Tomb , grave",link to dictionary,,
??????,"Wall , Worthiness, Suitable, Deserve,",link to dictionary,,
????,", Grave, Significant, New, Recent, , Grand father , Ancestor , Serious",link to dictionary,,
??????,", Dispute, Twist, Argument , Quarrel",link to dictionary,,
?????,"Cut off , Fragments",link to dictionary,,
????????,", Firebrand, Burning Log",link to dictionary,,
?????,"Pull , Draw , Drag",link to dictionary,,
??????,", Wound ,Hurt , Challenge, Commit a crime , Injure",link to dictionary,,
??????,", Wound ,Hurt , Challenge, Commit a crime , Injure",link to dictionary,,
??????,", Wound ,Hurt , Challenge, Commit a crime , Injure",link to dictionary,,
??????,"Barren , Locust",link to dictionary,,
??????,"Swallow , Drink",link to dictionary,,
??????,"Sweep away , carry away, Under Cut Bank, Shore,",link to dictionary,,
??????,", Surely , Offense, Crime, Sin, Body, Heavenly Bodies, Certainly , Indeed",link to dictionary,,
?????,"Follow , Watercourse, carry out , Pay, Salary, Wages, Performance",link to dictionary,,
?????,"Follow , Watercourse, carry out , Performance",link to dictionary,,
??????,"Part, Fraction, Content",link to dictionary,,
??????,"Anxious , Sad, Shaft",link to dictionary,,
?????,"Compensate , Reward, Punish, Penalty, Take the place",link to dictionary,,
?????,"Body , Embody",link to dictionary,,
?????,"Compensate , Reward, Punish, Penalty, Take the place",link to dictionary,,
??????,"Body , Mass, Big, Large, Huge,",link to dictionary,,
??????,"Make , Create, Bring, Give, Grant,",link to dictionary,,
?????,"Rough , Harsh, Avoid, Shun,",link to dictionary,,
?????,"Great , Exalted , Mighty, Outstanding, Periodical",link to dictionary,,
???,"Grapevine, Eyelid , Bowl",link to dictionary,,
?????,"Useless, Futile, In Vain",link to dictionary,,
??????,"Attract , Draw , Get , Procure ,",link to dictionary,,
??????,"Skin, Hide, Leather, Whip , Flag, Ice, Volume,",link to dictionary,,
????????,"Garment , Cloth",link to dictionary,,
????,"Depart, Go Away, Clear , Plain, Evident, Show, Disclose,",link to dictionary,,
?????,"Gather , Concentrate",link to dictionary,,
??????,"Unruly , Defiant",link to dictionary,,
?????,"Freeze , Solidify",link to dictionary,,
??????,"Gather , Collect",link to dictionary,,
?????,"Explore , Investigate",link to dictionary,,
?????,", Become dark, Garden , Paradise , Conceal , Mad, Jinn, Demons, Protect, Shield, Conceal,",link to dictionary,,
??????,"Beautiful , Handsome , Camel",link to dictionary,,
?????,", Become dark, Garden , Paradise , Conceal , Mad, Jinn, Demons, Protect, Shield, Conceal,",link to dictionary,,
??????,"Your Honarable, Major Impurity, Apart , Away , Side , South",link to dictionary,,
??????,"Incline , Tend , Crime , Sin ,Wing, Side, Flank",link to dictionary,,
?????,"Soldier , Troops , Army ,Recruit",link to dictionary,,
?????,"Pick , Reap , Gather, Collect",link to dictionary,,
??????,"Strive , Labor , Work , Industrious",link to dictionary,,
??????,"Appear, Show, Annouince, Raise (Voice), Public, Loud",link to dictionary,,
??????,"Equipment , Outfit, Furnish, Supply ,",link to dictionary,,
??????,"Ignorant , Foolish , Illiterate",link to dictionary,,
?????,"Penetrate , Pierce , Answer , Explore, Reply, Response, Comply,",link to dictionary,,
????????,"Hellish , Infernal",link to dictionary,,
?????,"Air , Sky , Weather , Climate",link to dictionary,,
?????,"Good , Perfect , Excellent",link to dictionary,,
?????,"Deviate , Protect , Neighbor",link to dictionary,,
?????,"Travel , Permitted , Lawfulness",link to dictionary,,
?????,"Hallow , Cavity , Interior",link to dictionary,,
?????,"Hungry , Starve",link to dictionary,,
?????,"Come , Reach , Arrive",link to dictionary,,
?????,"Heart , Breast , Pocket",link to dictionary,,
????,Neck,link to dictionary,,
?????,"Love , Want , Like",link to dictionary,,
????,"Grain , Seed , Kernel",link to dictionary,,
??????,"Cheer , Delight , happy , Rabbi , Bishop",link to dictionary,,
??????,"Obstruct , Hold , Confine",link to dictionary,,
??????,"Failure , Defeat , Frustrate",link to dictionary,,
??????,"Fabric , Structure , Orbits",link to dictionary,,
??????,"Rope , Catch , Tie",link to dictionary,,
?????,"Scrap off , Rub Off",link to dictionary,,
??????,"Determine , Decree, Prescribe, Decree,",link to dictionary,,
??????,"Until , Up to",link to dictionary,,
?????,"Urge , Incite , Provoke",link to dictionary,,
?????,"Pilgrimage to Mecca , Defeat in arguments",link to dictionary,,
??????,"Veil , Screen , Conceal",link to dictionary,,
?????,Stone,link to dictionary,,
??????,"Stop , Detain , Restriction , Forbidden , Room , Chamber",link to dictionary,,
??????,"Prevent , Hold Back ,",link to dictionary,,
??????,"All Sides , All Directions , Curvature",link to dictionary,,
?????,"Iron , Edge , Border , Oppose",link to dictionary,,
?????,"Iron , Edge , Border , Oppose",link to dictionary,,
??????,"Happen , Conversation , Discussion , Hadith",link to dictionary,,
??????,"Warning , Caution , danger",link to dictionary,,
??????,"Warning , Caution , danger",link to dictionary,,
??????,"Garden , Surround",link to dictionary,,
?????,"Hot , Hearty , Independence , Silk Weaver",link to dictionary,,
??????,"War , Mehrab , Angry",link to dictionary,,
??????,"Farming , Plow , Cultivate",link to dictionary,,
??????,"Tight , Difficult , Forbidden",link to dictionary,,
??????,"Guard , Protector",link to dictionary,,
??????,"Angry , Annoyed",link to dictionary,,
??????,"Desire , Intent , Greed",link to dictionary,,
??????,"Burn , Combustion , Hurt",link to dictionary,,
???,"Incite , Provoke",link to dictionary,,
???,"Letter , Border , Distort, Alternate, Branch off,",link to dictionary,,
??????,"Forbidden , Unlawful , Sanctuary",link to dictionary,,
?????,"Movement , Motion",link to dictionary,,
??????,"Group , Band , party",link to dictionary,,
?????,"Feel , Sense , Perception",link to dictionary,,
??????,"Calculate , Count , Opinion",link to dictionary,,
??????,"Sad , Grieved , Tragedy",link to dictionary,,
??????,"Envy , Grudge",link to dictionary,,
??????,"Grieved , Distressed , Regret",link to dictionary,,
??????,"Cut , Terminate , finish",link to dictionary,,
??????,"Good , Beautiful , Nice",link to dictionary,,
??????,"gather , Assemble",link to dictionary,,
????,"Share , Part , Quota",link to dictionary,,
??????,"Cover with Pebbles , Gravel",link to dictionary,,
??????,"Harvest , Reap",link to dictionary,,
??????,"Confine , encirclement",link to dictionary,,
??????,"Obtain , receive , Revenue",link to dictionary,,
?????,"Inaccessible , Fortified , Chaste of a women",link to dictionary,,
??????,"Present , Attend , Arrive",link to dictionary,,
?????,"Incite , Instigate",link to dictionary,,
???,"Pebbles , Stone , Calculate",link to dictionary,,
??????,Firewood,link to dictionary,,
??????,"Break , Wreck , Destroyed",link to dictionary,,
??????,"Forbidden , Prohibition , Fence",link to dictionary,,
?????,"Lucky , Fortune, Share",link to dictionary,,
??????,"Dig , Excavate , Engrave",link to dictionary,,
??????,"Descendent , Grand son , Grand Daughter",link to dictionary,,
?????,"Surround , Border",link to dictionary,,
??????,"Protect , Guard",link to dictionary,,
??????,"Welcome , Kind , Greeting",link to dictionary,,
?????,"True , Real , Right , Correct",link to dictionary,,
???,"Long Period , Long Stretch of Time",link to dictionary,,
??????,"Judge , Decision , Wisdom",link to dictionary,,
?????,"Unite , Solve , Permissible , Place",link to dictionary,,
?????,"Unite , Solve , Permissible , Place",link to dictionary,,
??????,"Shave , Throat , Ring , Circle",link to dictionary,,
??????,"Gentle , Dream , Patient , Puberty",link to dictionary,,
??????,"Swear , Ally",link to dictionary,,
??????,"Gentle , Dream , Patient , Puberty",link to dictionary,,
????????,Throat,link to dictionary,,
?????,"Hot , Close Friend , Bath",link to dictionary,,
??????,"Pleasant , Attractive , Jewelry , Sweet",link to dictionary,,
??????,"Praise , Commend , thanks",link to dictionary,,
???,"Red , Donkey",link to dictionary,,
??????,"carry , Loaded , Bear",link to dictionary,,
?????,"Hot , Violent , Passion",link to dictionary,,
?????,"Defend, Protect, Gaurdian",link to dictionary,,
?????????,"Larynx , Throat",link to dictionary,,
??????,"Sin , Perjury",link to dictionary,,
?????,"Bend , Compassion , Pity ,",link to dictionary,,
??????,True Believer,link to dictionary,,
?????,"Overcome, Possess",link to dictionary,,
?????,"Return , Virgin , Change , Discuss",link to dictionary,,
?????,"Win, To Gain Control, Possession , Scope",link to dictionary,,
?????,", Collect, Save, Stop, Prevent , Hold, Strange, Mob, Wild, Courtyard,",link to dictionary,,
?????,"Guard , Surround , Circle",link to dictionary,,
?????,"Guard , Surround , Circle",link to dictionary,,
?????,"Surround ,",link to dictionary,,
?????,"Turn , Change , Condition",link to dictionary,,
?????,"Contain , Hold , Possess",link to dictionary,,
??,"Live , Bashful , Shy , Greet , Salute , Snake ,",link to dictionary,,
??,"Live , Bashful , Shy , Greet , Salute , Snake ,",link to dictionary,,
?????,"Escape , Place of Refuge",link to dictionary,,
?????,"Escape , Place of Refuge",link to dictionary,,
??????,Wherever,link to dictionary,,
???????,Menstruate,link to dictionary,,
?????,", Injustice, Wrong , Harm, Encroach, Limit, Infringe",link to dictionary,,
?????,"Confused , Helpless",link to dictionary,,
???,"Depart , Deviate , Incline",link to dictionary,,
?????,"Surround ,",link to dictionary,,
?????,"Time , Come , Draw near",link to dictionary,,
??????,"Hidden , Secrets , Large earth ware",link to dictionary,,
??????,"Know , News , Knowledge",link to dictionary,,
??????,"Vicious , Bad , Evil",link to dictionary,,
?????,"Go Out, Extinguish",link to dictionary,,
??????,"Bread , Bake",link to dictionary,,
??????,"Hit , Insanity , Stray , Lost",link to dictionary,,
??????,"Confuse , Insane , Crazy",link to dictionary,,
??????,"Cheat , Deceive",link to dictionary,,
??????,"Stamp , Seal , Close , Finish",link to dictionary,,
??????,"Confused, Confound, Mixup",link to dictionary,,
??????,"Deceive , Cheat",link to dictionary,,
?????,"Furrow , Cheek , Trench",link to dictionary,,
??????,"Destroy, Ruin , Disintegrate",link to dictionary,,
???,"Intimate , Friend , Confident",link to dictionary,,
?????,"Drop , fall , Prostrate , Snore",link to dictionary,,
??????,"Go Out , Leave , Depart , Some one deserves Taxes, Expulsion",link to dictionary,,
??????,"Go Out , Leave , Depart , Expulsion",link to dictionary,,
???????,Mustard Seed,link to dictionary,,
?????,"Guess , Lie , fabricate",link to dictionary,,
??????,"Tear , Rip , perforate",link to dictionary,,
????????,"Trunk , Hose",link to dictionary,,
??????,"Cut Off , prevent",link to dictionary,,
??????,"Treasure , Store , Safe",link to dictionary,,
??????,"Decrease , Depreciate , Reduce",link to dictionary,,
?????,"Wood , Lumber , Board",link to dictionary,,
??????,"Disgrace , Humiliate",link to dictionary,,
??????,"Loose , perish , Damage",link to dictionary,,
?????,"Decrease , Depreciate , Reduce",link to dictionary,,
??????,"Sink , Disappear",link to dictionary,,
??????,"Submissive , Humility",link to dictionary,,
??????,"Fear , Afraid",link to dictionary,,
?????,"Distinguish , Special Honor",link to dictionary,,
??????,"Argue , Adversary , Quarrel",link to dictionary,,
??????,"Green , Herbs , vegetation",link to dictionary,,
??????,"Bow , Submit , Surrender",link to dictionary,,
?????,"Line , Writing , Script",link to dictionary,,
???????,"Mistake , Error , fault",link to dictionary,,
??????,"Speech , Matter , Concern",link to dictionary,,
??????,"Grab, Sieze, Snatch, Sudden, Short",link to dictionary,,
?????,"Lighter , Insignificant , Decrease",link to dictionary,,
??????,"Inaudible , Fading , Silence",link to dictionary,,
??????,"Lower , Decrease , Soft",link to dictionary,,
??????,"Hidden , Secret , Missing",link to dictionary,,
?????,"Gap , Friend , Defective",link to dictionary,,
??????,"Eternal , Immortal , Perpetuation",link to dictionary,,
??????,"Pure , Finish , Short , Escape",link to dictionary,,
??????,"Mix , Associate , Mingle",link to dictionary,,
??????,"Mix , Associate , Mingle",link to dictionary,,
??????,"Remove , Extract , Dislocate",link to dictionary,,
??????,"Succeed , Behind , Rear",link to dictionary,,
??????,"Create , Nature , Mankind , Disposition",link to dictionary,,
?????,"Vacant , Free , Surrender",link to dictionary,,
??????,"Go Out , Die , Extinct",link to dictionary,,
??????,"Cover , Wine , Alcohol , Reddish Brown",link to dictionary,,
??????,"Cover , Wine , Alcohol , Reddish Brown",link to dictionary,,
??????,"Empty , Hungary",link to dictionary,,
???,"Fifth , Thursday , Pentagon",link to dictionary,,
??????,"Hide , Epithet of Devil",link to dictionary,,
??????,"Choke , Strangle , Quarrel",link to dictionary,,
????????,"Pig , Swine , Hog",link to dictionary,,
?????,"Rush , Engaged , Absorbed",link to dictionary,,
????,"Maternal Uncle , Mole, Aunt, Supervisor, Give, Grant, Bestow",link to dictionary,,
?????,"Disloyal , Betray , Distrust",link to dictionary,,
????,"Maternal Uncle , Mole, Aunt, Supervisor",link to dictionary,,
?????,"Fear , Scared , Timid",link to dictionary,,
?????,"Fail , Unsuccessful , frustrate",link to dictionary,,
?????,"To Low , Moo of cattle, Grow, Weak, Bellowing, Mooing",link to dictionary,,
?????,"Empty , Hunger , Vacant",link to dictionary,,
?????,"Choose , Good , Charity , Prefer",link to dictionary,,
?????,"Sew , Stitch , Thread , Cord",link to dictionary,,
?????,"Imaginary , Unreal , Proud , Horse",link to dictionary,,
????,"Raw , Inclination , Stay , Camp",link to dictionary,,
??????,"Persist , Persevere, Eagerness, Habit,",link to dictionary,,
??????,"Persist , Persevere, Eagerness, Habit,",link to dictionary,,
??????,"Turn One's Back , Rear , End , Organize , Consider",link to dictionary,,
?????,"Creep , Spread , Bear , Animal",link to dictionary,,
?????,"Creep , Spread , Bear , Animal",link to dictionary,,
??????,"Obliterated , Wiped Out , Wrap One self",link to dictionary,,
??????,"Drive Away , Repel , Remove",link to dictionary,,
??????,"Void , Invalid , Disprove",link to dictionary,,
??????,"Penetrate , Internal",link to dictionary,,
??????,"Smoke , Vapor , Fume",link to dictionary,,
??????,"Smoke , Vapor , Fume",link to dictionary,,
??????,"Repel , Ward off",link to dictionary,,
