ArabicWord,EnglishMeaning,Link,
بَدَّ,"Spread , Scatter",link to dictionary,
بَدَأَ,"Begin , Start",link to dictionary,
بِدَر,"Come Suddenly, Moon, Rush, Hurry,Hastening",link to dictionary,
بَدَ عَ,"Create , First , Originate",link to dictionary,
بَدَ نَ,"Bodily , Physical",link to dictionary,
بَدَلَ,"Change , Replace",link to dictionary,
بَدَا,"Come to Light , Appear, Desert, Nomads, Bedouin,",link to dictionary,
بَذَرَ,"Sow , Spread , Disseminate, Waste, Squander,",link to dictionary,
بَرَّ,"Dutiful , Devoted",link to dictionary,
بَرَ,"Land , Open Country",link to dictionary,
بَرَ أَ,"Create , Creation.",link to dictionary,
بَرِ ىءَ,"Recover , Heal , Absolved , Free",link to dictionary,
بَرِحَ,"Depart, Continue, Leave Place , Open , Space, Yesterday, Torment,",link to dictionary,
بر ج,"Tower, Constellations, Castle , Pretty",link to dictionary,
بَرَدَ,"Cold , Coolness",link to dictionary,
بَرَزَ,"Come out , Show , Appear",link to dictionary,
بَرِصَ,"Leper , Leprosy , Wall Gecko",link to dictionary,
بَرْزَخ,"Obstruction , Partition",link to dictionary,
بَرَقَ,"Lightning , Flash, Shining,",link to dictionary,
بَرَكَ,"Blessing , Abundant , Prosperity",link to dictionary,
بَرِمَ,"Tired, Weary, Sick,",link to dictionary,
بَرْهَنَ,"Prove , Demonstrate",link to dictionary,
بَزَغَ,"Emerge , Appear",link to dictionary,
بَسَرَ,"Frown, Scowl ,",link to dictionary,
بَسَطَ,", Stretch, Spread , Unfold, Carpet, Surface of the earth, Explain,",link to dictionary,
بَسَّ,"Send , Drive Away ,",link to dictionary,
بَسَقَ,"High , Tall , Excel",link to dictionary,
بَسَمَ,Smile,link to dictionary,
بَسُلَ,"Brave , Scowl, Courage,",link to dictionary,
بَشَر,"Man , Human Being , Mankind , Peel , Scrap , Grate , Shred , Touch , Contact , Pursue ,",link to dictionary,
بَشِرَ,"Good news, Messenger Bearer of good news,",link to dictionary,
بَصُرَ,"See , Understand",link to dictionary,
بَضَعَ,"Few , Some , Cut",link to dictionary,
بَطُؤَ,"Possess Own, Win, Range, Sphere,",link to dictionary,
بَطَشَ,"Strike , Tyranny, Force, Violence, Power",link to dictionary,
بَطَلَ,"Invalid , False , Abolish",link to dictionary,
بَطِرَ,"Arrogant , Vanity",link to dictionary,
بَطَنَ,"Hidden , Stomach, Concealed, Inside, Secret,",link to dictionary,
بَعَثَ,"Dispatch , Delegate , Rebirth, Arouse, Incite,",link to dictionary,
بَعْثَرَ,"Scatter , Strew around , Disarrange , Dissipation , Wasted",link to dictionary,
بَعُدَ,"Distant , Far Away, Remote, Far Beyond, Then, After that, Remove, Separate,",link to dictionary,
بَغَتَ,"Unexpectedly , Surprise",link to dictionary,
بَغِضَ,"Hateful , Loathsome, Resentful, Detest,",link to dictionary,
بَغَى,"Seek , desire , Outrage Strive, Oppress,",link to dictionary,
بَغَى,"Seek , desire , Outrage Strive, Oppress,",link to dictionary,
بَغْل,Mule,link to dictionary,
بَقَرَ,Cow,link to dictionary,
بَقِىَ,"Remain , Lasting",link to dictionary,
بُقْعَ,"Spot , Locality",link to dictionary,
بَكَرَ,"Morning , Tomorrow , Virgin",link to dictionary,
بَكَى,"Cry , Weep",link to dictionary,
بَلَدَ,"Town , Country",link to dictionary,
بَكِمَ,"Silent , Dumb",link to dictionary,
بَلَدَ,"Town , Country",link to dictionary,
بَلْ,", But , However, Rather, Yet, Even",link to dictionary,
بَلَعَ,"Swallow , Gulp ,",link to dictionary,
بَلَغَ,"Reach , arrive , Come, Amount, More Profound, Convey, Transmit, Deliver,",link to dictionary,
بلو,"Test , Misfortune, Trial, Calamity,",link to dictionary,
بَنَا نْ,Fingertips,link to dictionary,
اِبْن,"Son , Descendant , Man , Human Being ,",link to dictionary,
بَنَى,"Build, Erect , Construct",link to dictionary,
بَهِتَ,"Bewildered , Slander",link to dictionary,
بَهِجَ,"Good Looking , Happy",link to dictionary,
بَهَلَ,"Supplicate , Pray",link to dictionary,
بهم,"Livestock , lamb , Sheep",link to dictionary,
بَا ب,"Door , Gate , Class",link to dictionary,
بأ ءَ,"Return , Settle Down",link to dictionary,
بَارَ,"Perish , Destroy",link to dictionary,
بَاعِ,"Lineal Measure , Power, Might",link to dictionary,
بَال,"Condition , State",link to dictionary,
بَا تَ,"Spend the night , Home",link to dictionary,
بَا ضَ,"Egg , White",link to dictionary,
بَا عَ,"Sell , Transaction",link to dictionary,
بَا نَ,"Evident , Between",link to dictionary,
تَابُوت,"Box, Coffer, Casket, Coffin",link to dictionary,
تَبَرَ,"Destroy , Annihilate",link to dictionary,
تَبَرَ,"Destroy , Annihilate",link to dictionary,
تَبِعَ,"Follow , Pursue, Succeed, Adhere, Attached, Compliance, Agree,",link to dictionary,
تَبَّ,"Perish , Destruction",link to dictionary,
تَجَرَ,"Trade , Business, Merchandize, Store, Shop,",link to dictionary,
تَحْتَ,"Under , Below, Beneath, Lower,",link to dictionary,
تَرِبَ,"Dusty , Earth , Person of Same age",link to dictionary,
تِسْعِ,",Ninety, Nine, Nineteen",link to dictionary,
تَرَاق,Collarbone,link to dictionary,
تَرِفَ,"Luxury , Comfort",link to dictionary,
تَرَكَ,"Leave , Abandon, Heritage, Quit, Bequeath, Neglect,",link to dictionary,
بَعَضَ,"Some , Each Other, Mosquito",link to dictionary,
بَعَلَ,"become Husband or wife , Lord",link to dictionary,
رَحِمَ,"Merciful , Compassionate",link to dictionary,
رَدَّ,"Return , Resist , Oppose",link to dictionary,
رَدَأَ,"Support , Strength , Helper",link to dictionary,
رَدَفَ,"Follow , Succeed , Follow one another , Synonymous",link to dictionary,
رَدَمَ,"Fill, Rubble , Debris, Dam",link to dictionary,
رَدِى,"Perish , Destroy , Deteriorate",link to dictionary,
رَذَلَ,"Reject , Disown , Despicable",link to dictionary,
رَزَقَ,"Provide with means of livelihood , Blessed , Endowed",link to dictionary,
رَسَخَ,"Firm , Stable , Established",link to dictionary,
رَسِلَ,", Send, Dipatch, Messenger , Emissary , Apostle , Envoy",link to dictionary,
رَسَا,"Anchor , High mountain , dock",link to dictionary,
رَشَدَ,"True Believer , Right way , Reason , Sense",link to dictionary,
رَصَدَ,"Watch , Observe , Lie in Wait , Observatory",link to dictionary,
رَصَّ,"Compress , Stress , Stick Together",link to dictionary,
رَضِع,"Sucking , Suckling , Lactation",link to dictionary,
رَضِيَ,"Satisfied , Content , Please , Approve",link to dictionary,
رَطُبَ,"Wet , Damp , Humid , Green Plants , Ripe Dates ,",link to dictionary,
رَعَا,"Desist , Repent",link to dictionary,
رَعَبَ,"Frighten , Terrified ,",link to dictionary,
رَعَدَ,"Thunder , Tremor , Coward ,",link to dictionary,
تِسْعَةَ,"Nine , Nineteen",link to dictionary,
تَعِسَ,"Perish , Unhappy, Miserable,",link to dictionary,
تَفِهَ,"Little, Insignificant, Small, Worthless",link to dictionary,
تَقَى,"Fear, Caution, Devout, To fear God , Pious",link to dictionary,
تقن,"Skillful , Perfect, Firmness,",link to dictionary,
تَكَ,"Crush, Trample, Underfoot,",link to dictionary,
تلو,"Reading , Recitation , Follow",link to dictionary,
تَمَّ,"Complete , Perfect, Done, Finish,",link to dictionary,
تَنُّور,"Oven , Pit, Skirt,",link to dictionary,
تَا بَ,"Repent, Renounce, Merciful, Forgive,",link to dictionary,
تَارَةً,"Once, Sometimes, At other times.",link to dictionary,
تَا هَ,"Straying, Wandering , Get Lost, Loose one way , Perish, Proud , Haughty , Mislead",link to dictionary,
تِين,Fig,link to dictionary,
ثَبَرَ,"Destroy , Perish",link to dictionary,
ثَبُتَ,"Confirmed , Proven",link to dictionary,
ثَجَّ,"Flow Copiously , Streaming",link to dictionary,
ثَبَطَ,"Prevent, Hold Back, Hinder, Impede, Frustrate",link to dictionary,
ثَخُنَ,"Wear out , Weaken, Persevere, Persist, Thick,",link to dictionary,
ثَرَا,"Wealth , Rich , Earth , Ground",link to dictionary,
ثَرَبَ,"Blame , Slander, Rebuke,",link to dictionary,
ثَقَبَ,"Piercing , Shine of a Star",link to dictionary,
ثُعْبَا ن,Snake,link to dictionary,
ثَقَلَ,"Weight , heavy , Humans and Jinn's",link to dictionary,
ثَقِفَ,"Meet , Find , Intelligent , Clever",link to dictionary,
ثَلًثَ,"one third , three",link to dictionary,
ثَلَّ,"Group , band , destroy",link to dictionary,
ثَمَرَ,"Bear Fruit , profit",link to dictionary,
ثَمَّ,"There , Over There , Then , After wards , Further more , and again , once more",link to dictionary,
ثَمَنَ,"Eighth , Eight, Eighteen",link to dictionary,
ثَمُنَ,"Value , Valuable , Precious",link to dictionary,
ثَنَى,"Folded , Secondary, Two, Twelve, Double, Bend, Exception,",link to dictionary,
ثَابَ,"Dress , Return , Reward , Recompense , Place to which one returns",link to dictionary,
ثَنَى,"Folded , Secondary, Two, Twelve, Double, Bend, Exception,",link to dictionary,
ثَارَ,"Excite , Agitate, Arouse, Provoke",link to dictionary,
ثَوَى,"Settle Down , Dwelling, Abode,",link to dictionary,
ثيب,"Unmarried , Divorcee , Widow ,",link to dictionary,
جَأَرَ,"Pray Fervently, Moo, Bellow of cattle",link to dictionary,
جَبَرَ,"compel , Forcibly, Coercion",link to dictionary,
جُبَ,"Pit , Well , Outer garment",link to dictionary,
جَبَهَ,"Face, Forehead, Front, Confront, Opposition,",link to dictionary,
جَبُنَ,"Forehead , face , Fearful",link to dictionary,
جَبَلَ,"Disposition , Mountain, Hilly, Mold, Form, Fashion,",link to dictionary,
جَبَى,"Choose , Prostration, Pick,",link to dictionary,
جَثَا,To Fall on One Knee,link to dictionary,
جَثَّ,"Uproot , Body, Pullout, Corpse",link to dictionary,
جَثَا,To Fall on One Knee,link to dictionary,
جَحَمَ,"hellish , Kindle, Hellfire, Fire",link to dictionary,
جَحَدَ,"Renounce , Negate, Deny, Disclaim, Reject,",link to dictionary,
جَدَث,"Tomb , grave",link to dictionary,
جَدُرَ,"Wall , Worthiness, Suitable, Deserve,",link to dictionary,
جدَّ,", Grave, Significant, New, Recent, , Grand father , Ancestor , Serious",link to dictionary,
جَدَلَ,", Dispute, Twist, Argument , Quarrel",link to dictionary,
جَذَّ,"Cut off , Fragments",link to dictionary,
جَذْوَةٍ,", Firebrand, Burning Log",link to dictionary,
جَرَّ,"Pull , Draw , Drag",link to dictionary,
جَرَحَ,", Wound ,Hurt , Challenge, Commit a crime , Injure",link to dictionary,
جَرَحَ,", Wound ,Hurt , Challenge, Commit a crime , Injure",link to dictionary,
جَرَحَ,", Wound ,Hurt , Challenge, Commit a crime , Injure",link to dictionary,
جَرَدَ,"Barren , Locust",link to dictionary,
جَرَعَ,"Swallow , Drink",link to dictionary,
جَرَفَ,"Sweep away , carry away, Under Cut Bank, Shore,",link to dictionary,
جَرَمَ,", Surely , Offense, Crime, Sin, Body, Heavenly Bodies, Certainly , Indeed",link to dictionary,
جَرَى,"Follow , Watercourse, carry out , Pay, Salary, Wages, Performance",link to dictionary,
جَرَى,"Follow , Watercourse, carry out , Performance",link to dictionary,
جَزَأَ,"Part, Fraction, Content",link to dictionary,
جَزِعَ,"Anxious , Sad, Shaft",link to dictionary,
جَزَى,"Compensate , Reward, Punish, Penalty, Take the place",link to dictionary,
جَسَد,"Body , Embody",link to dictionary,
جَزَى,"Compensate , Reward, Punish, Penalty, Take the place",link to dictionary,
جَسُمَ,"Body , Mass, Big, Large, Huge,",link to dictionary,
جَعَلَ,"Make , Create, Bring, Give, Grant,",link to dictionary,
جَفَا,"Rough , Harsh, Avoid, Shun,",link to dictionary,
جَلَّ,"Great , Exalted , Mighty, Outstanding, Periodical",link to dictionary,
جفن,"Grapevine, Eyelid , Bowl",link to dictionary,
جُفَا,"Useless, Futile, In Vain",link to dictionary,
جَلَبَ,"Attract , Draw , Get , Procure ,",link to dictionary,
جَلَدَ,"Skin, Hide, Leather, Whip , Flag, Ice, Volume,",link to dictionary,
جِلْبَاب,"Garment , Cloth",link to dictionary,
جلَا,"Depart, Go Away, Clear , Plain, Evident, Show, Disclose,",link to dictionary,
جَمَّ,"Gather , Concentrate",link to dictionary,
جَمَحَ,"Unruly , Defiant",link to dictionary,
جَمْد,"Freeze , Solidify",link to dictionary,
جَمَعَ,"Gather , Collect",link to dictionary,
جَاسَ,"Explore , Investigate",link to dictionary,
جَنَّ,", Become dark, Garden , Paradise , Conceal , Mad, Jinn, Demons, Protect, Shield, Conceal,",link to dictionary,
جَمَلَ,"Beautiful , Handsome , Camel",link to dictionary,
جَنَّ,", Become dark, Garden , Paradise , Conceal , Mad, Jinn, Demons, Protect, Shield, Conceal,",link to dictionary,
جَنَبَ,"Your Honarable, Major Impurity, Apart , Away , Side , South",link to dictionary,
جَنَحَ,"Incline , Tend , Crime , Sin ,Wing, Side, Flank",link to dictionary,
جُنْد,"Soldier , Troops , Army ,Recruit",link to dictionary,
جَنَى,"Pick , Reap , Gather, Collect",link to dictionary,
جَهَدَ,"Strive , Labor , Work , Industrious",link to dictionary,
جَهَرَ,"Appear, Show, Annouince, Raise (Voice), Public, Loud",link to dictionary,
جَهَزَ,"Equipment , Outfit, Furnish, Supply ,",link to dictionary,
جَهِلَ,"Ignorant , Foolish , Illiterate",link to dictionary,
جَابَ,"Penetrate , Pierce , Answer , Explore, Reply, Response, Comply,",link to dictionary,
جَهَنَّم,"Hellish , Infernal",link to dictionary,
جَوِّ,"Air , Sky , Weather , Climate",link to dictionary,
جَادَ,"Good , Perfect , Excellent",link to dictionary,
جَارَ,"Deviate , Protect , Neighbor",link to dictionary,
جَازَ,"Travel , Permitted , Lawfulness",link to dictionary,
جَوْف,"Hallow , Cavity , Interior",link to dictionary,
جَاعَ,"Hungry , Starve",link to dictionary,
جَاءَ,"Come , Reach , Arrive",link to dictionary,
جَيبْ,"Heart , Breast , Pocket",link to dictionary,
جِيد,Neck,link to dictionary,
حَبَّ,"Love , Want , Like",link to dictionary,
حَبَ,"Grain , Seed , Kernel",link to dictionary,
حَبَرَ,"Cheer , Delight , happy , Rabbi , Bishop",link to dictionary,
حَبَسَ,"Obstruct , Hold , Confine",link to dictionary,
حَبَطَ,"Failure , Defeat , Frustrate",link to dictionary,
حَبَكَ,"Fabric , Structure , Orbits",link to dictionary,
حَبَلَ,"Rope , Catch , Tie",link to dictionary,
حَتَّ,"Scrap off , Rub Off",link to dictionary,
حَتَمَ,"Determine , Decree, Prescribe, Decree,",link to dictionary,
حَتَّى,"Until , Up to",link to dictionary,
حَثًّ,"Urge , Incite , Provoke",link to dictionary,
حَجَّ,"Pilgrimage to Mecca , Defeat in arguments",link to dictionary,
حَجَبَ,"Veil , Screen , Conceal",link to dictionary,
حَجَر,Stone,link to dictionary,
حَجَرَ,"Stop , Detain , Restriction , Forbidden , Room , Chamber",link to dictionary,
حَجَزَ,"Prevent , Hold Back ,",link to dictionary,
حَدِبَ,"All Sides , All Directions , Curvature",link to dictionary,
حَدَّ,"Iron , Edge , Border , Oppose",link to dictionary,
حَدَّ,"Iron , Edge , Border , Oppose",link to dictionary,
حَدَثَ,"Happen , Conversation , Discussion , Hadith",link to dictionary,
حَذِرَ,"Warning , Caution , danger",link to dictionary,
حَذِرَ,"Warning , Caution , danger",link to dictionary,
حَدَقَ,"Garden , Surround",link to dictionary,
حَرَّ,"Hot , Hearty , Independence , Silk Weaver",link to dictionary,
حَرِبَ,"War , Mehrab , Angry",link to dictionary,
حَرَثَ,"Farming , Plow , Cultivate",link to dictionary,
حَرِجَ,"Tight , Difficult , Forbidden",link to dictionary,
حَرَسَ,"Guard , Protector",link to dictionary,
حَرِدَ,"Angry , Annoyed",link to dictionary,
حَرَصَ,"Desire , Intent , Greed",link to dictionary,
حَرَقَ,"Burn , Combustion , Hurt",link to dictionary,
حرض,"Incite , Provoke",link to dictionary,
حرف,"Letter , Border , Distort, Alternate, Branch off,",link to dictionary,
حَرُمَ,"Forbidden , Unlawful , Sanctuary",link to dictionary,
حَرِك,"Movement , Motion",link to dictionary,
حَزَبَ,"Group , Band , party",link to dictionary,
حَسَّ,"Feel , Sense , Perception",link to dictionary,
حَسَبَ,"Calculate , Count , Opinion",link to dictionary,
حَزَنَ,"Sad , Grieved , Tragedy",link to dictionary,
حَسَدَ,"Envy , Grudge",link to dictionary,
حَسَرَ,"Grieved , Distressed , Regret",link to dictionary,
حَسَمَ,"Cut , Terminate , finish",link to dictionary,
حَسَنَ,"Good , Beautiful , Nice",link to dictionary,
حَشَرَ,"gather , Assemble",link to dictionary,
حَصَ,"Share , Part , Quota",link to dictionary,
حَصَبَ,"Cover with Pebbles , Gravel",link to dictionary,
حَصَدَ,"Harvest , Reap",link to dictionary,
حَصَرَ,"Confine , encirclement",link to dictionary,
حَصَلَ,"Obtain , receive , Revenue",link to dictionary,
حصُنَ,"Inaccessible , Fortified , Chaste of a women",link to dictionary,
حَضَرَ,"Present , Attend , Arrive",link to dictionary,
حَضَّ,"Incite , Instigate",link to dictionary,
حصى,"Pebbles , Stone , Calculate",link to dictionary,
حَطَبَ,Firewood,link to dictionary,
حَطَمَ,"Break , Wreck , Destroyed",link to dictionary,
حَظَرَ,"Forbidden , Prohibition , Fence",link to dictionary,
حَظَّ,"Lucky , Fortune, Share",link to dictionary,
حَفَرَ,"Dig , Excavate , Engrave",link to dictionary,
حَفِيد,"Descendent , Grand son , Grand Daughter",link to dictionary,
حَفَّ,"Surround , Border",link to dictionary,
حَفِظَ,"Protect , Guard",link to dictionary,
حَفِىَ,"Welcome , Kind , Greeting",link to dictionary,
حَقَّ,"True , Real , Right , Correct",link to dictionary,
حقب,"Long Period , Long Stretch of Time",link to dictionary,
حَكَمَ,"Judge , Decision , Wisdom",link to dictionary,
حَلَّ,"Unite , Solve , Permissible , Place",link to dictionary,
حَلَّ,"Unite , Solve , Permissible , Place",link to dictionary,
حَلَقَ,"Shave , Throat , Ring , Circle",link to dictionary,
حَلَمَ,"Gentle , Dream , Patient , Puberty",link to dictionary,
حَلَفَ,"Swear , Ally",link to dictionary,
حَلَمَ,"Gentle , Dream , Patient , Puberty",link to dictionary,
حُلْقُوم,Throat,link to dictionary,
حَمَّ,"Hot , Close Friend , Bath",link to dictionary,
حَلُوَ,"Pleasant , Attractive , Jewelry , Sweet",link to dictionary,
حَمِدَ,"Praise , Commend , thanks",link to dictionary,
حمر,"Red , Donkey",link to dictionary,
حَمَلَ,"carry , Loaded , Bear",link to dictionary,
حَمَى,"Hot , Violent , Passion",link to dictionary,
حَمَي,"Defend, Protect, Gaurdian",link to dictionary,
حَنَاجِرُ,"Larynx , Throat",link to dictionary,
حَنِثَ,"Sin , Perjury",link to dictionary,
حَنَا,"Bend , Compassion , Pity ,",link to dictionary,
حَنَفَ,True Believer,link to dictionary,
حَاذَ,"Overcome, Possess",link to dictionary,
حَارَ,"Return , Virgin , Change , Discuss",link to dictionary,
حَازَ,"Win, To Gain Control, Possession , Scope",link to dictionary,
حَاشَ,", Collect, Save, Stop, Prevent , Hold, Strange, Mob, Wild, Courtyard,",link to dictionary,
حَاطَ,"Guard , Surround , Circle",link to dictionary,
حَاطَ,"Guard , Surround , Circle",link to dictionary,
حَاقَ,"Surround ,",link to dictionary,
حَالَ,"Turn , Change , Condition",link to dictionary,
حَوَي,"Contain , Hold , Possess",link to dictionary,
حي,"Live , Bashful , Shy , Greet , Salute , Snake ,",link to dictionary,
حي,"Live , Bashful , Shy , Greet , Salute , Snake ,",link to dictionary,
حَاصَ,"Escape , Place of Refuge",link to dictionary,
حَاصَ,"Escape , Place of Refuge",link to dictionary,
حَيْثُ,Wherever,link to dictionary,
حَاضَتْ,Menstruate,link to dictionary,
حَافَ,", Injustice, Wrong , Harm, Encroach, Limit, Infringe",link to dictionary,
حَيرَ,"Confused , Helpless",link to dictionary,
حيد,"Depart , Deviate , Incline",link to dictionary,
حَاقَ,"Surround ,",link to dictionary,
حَانَ,"Time , Come , Draw near",link to dictionary,
خَبَأَ,"Hidden , Secrets , Large earth ware",link to dictionary,
خَبَرَ,"Know , News , Knowledge",link to dictionary,
خَبُثَ,"Vicious , Bad , Evil",link to dictionary,
خَبَا,"Go Out, Extinguish",link to dictionary,
خَبَزَ,"Bread , Bake",link to dictionary,
خَبَطَ,"Hit , Insanity , Stray , Lost",link to dictionary,
خَبَلَ,"Confuse , Insane , Crazy",link to dictionary,
خَتَلَ,"Cheat , Deceive",link to dictionary,
خَتَمَ,"Stamp , Seal , Close , Finish",link to dictionary,
خَبَلَ,"Confused, Confound, Mixup",link to dictionary,
خَدَعَ,"Deceive , Cheat",link to dictionary,
خَدَّ,"Furrow , Cheek , Trench",link to dictionary,
خَرَبَ,"Destroy, Ruin , Disintegrate",link to dictionary,
خدن,"Intimate , Friend , Confident",link to dictionary,
خَرَّ,"Drop , fall , Prostrate , Snore",link to dictionary,
خَرَجَ,"Go Out , Leave , Depart , Some one deserves Taxes, Expulsion",link to dictionary,
خَرَجَ,"Go Out , Leave , Depart , Expulsion",link to dictionary,
خَرْدَل,Mustard Seed,link to dictionary,
خَرَص,"Guess , Lie , fabricate",link to dictionary,
خَرَقَ,"Tear , Rip , perforate",link to dictionary,
خُرْطُوم,"Trunk , Hose",link to dictionary,
خَذَلَ,"Cut Off , prevent",link to dictionary,
خَزَنَ,"Treasure , Store , Safe",link to dictionary,
خَسَأَ,"Decrease , Depreciate , Reduce",link to dictionary,
خَشَب,"Wood , Lumber , Board",link to dictionary,
خَزِيَ,"Disgrace , Humiliate",link to dictionary,
خَسِرَ,"Loose , perish , Damage",link to dictionary,
خَسَّ,"Decrease , Depreciate , Reduce",link to dictionary,
خَسَفَ,"Sink , Disappear",link to dictionary,
خَشَعَ,"Submissive , Humility",link to dictionary,
خَشَيَ,"Fear , Afraid",link to dictionary,
خَصَّ,"Distinguish , Special Honor",link to dictionary,
خَصَمَ,"Argue , Adversary , Quarrel",link to dictionary,
